Un animal semblable à un oiseau, puis deux. 'C'est un wug. Maintenant il y en a un autre. Il y en a deux. Il y a deux __.' 
Un oiseau, puis deux. 'C'est un gutch. Maintenant il y en a un autre. Il y en a deux. Il y a deux __.' 
Homme avec une cruche fumante sur la tête. 'C'est un homme qui sait comment spower. Il est en train de spower. Il a fait la même chose hier. Qu'a-t-il fait hier? Hier, il __. ' 
Un animal, puis deux. 'C'est un kazh.' Maintenant il y en a un autre. Il y en a deux. Il y a deux __.' 
Homme balançant un objet. 'C'est un homme qui sait comment ricker. Il est en train de ricker. Il a fait la même chose hier. Qu'a-t-il fait hier? Hier, il __.' 
Un animal, puis un animal minuscule. 'Ceci est un wug. Ceci est un tout petit wug. Comment appelleriez-vous un tout petit wug? __ . Ce wug vit dans une maison. Comment appelleriez-vous une maison dans laquelle vit un wug? __' 
Un animal, puis deux. 'C'est un tor. Maintenant il y en a un autre. Il y en a deux. Il y a deux tors.' 
Une fleur, puis deux. 'C'est un lun. Maintenant il y en a un autre. Il y en a deux. Il y a deux __·' 
Un animal, puis deux. 'C'est un niz. Maintenant il y en a un autre. Il y en a deux. Il y a deux __·' 
Homme faisant de la gymnastique. 'C'est un homme qui sait comment moter. Il est en train de moter. Il a fait la même chose hier. Qu'a-t-il fait hier? Hier, il __·' 
Un oiseau, puis deux. 'C'est un kra. Maintenant il y en a un autre. Il y en a deux. Il y a deux __·'
Un animal, puis deux. 'C'est un tass. Maintenant il y en a un autre. Il y en a deux. Il y a deux __.' 
Homme suspendant un objet à une ficelle. 'C'est un homme qui sait comment boder. Il est en train de boder. Il a fait la même chose hier. Qu'a-t-il fait hier? Hier, il a __·' 
Homme secouant un objet. 'C'est un homme qui sait comment nazer. Il est en train de nazer. Il le fait tous les jours. Chaque jour, il __·' 
Un insecte, puis deux. 'C'est un heaf. Maintenant il y en a un autre. Il y en a deux. Il y a deux __·' 
Homme faisant de l'exercice. 'C'est un homme qui sait comment glinguer. Il est en train de glinguer. Il a fait la même chose hier. Qu'a-t-il fait hier? Hier, il __·' 
Homme tenant un objet. 'C'est un homme qui sait comment loodger. Il est en train de loodger. Il le fait tous les jours. Chaque jour, il __·' 
Homme debout sur le plafond. 'C'est un homme qui sait comment binguer. Il est en train de binguer. Il a fait la même chose hier. Qu'a-t-il fait hier? Hier, il __·' 
Un animal portant un chapeau, puis deux portant des chapeaux. 'C'est un nize qui possède un chapeau. À qui est ce chapeau? C'est le chapeau ___. Maintenant, il y a deux nizes. Ils possèdent tous les deux des chapeaux. À qui sont ces chapeaux? Ce sont les chapeaux de __.' 
Homme équilibrant une balle sur son nez. 'C'est un homme qui sait comment ziber. Qu’est-il en train de faire ? Il est en train de __. Comment appelleriez-vous un homme dont le travail est de ziber?' __ 

